candle_num,timestamp,slug,title,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate,decision_btc_price,decision_delta
48,2026-02-23T02:55:01.130303+00:00,btc-updown-5m-1771815000,"Bitcoin Up or Down - February 22, 9:50PM-9:55PM ET",64786.08,64743.19,-42.89,DOWN,SKIP_EXPENSIVE,,0.6500,0.00,False,0.0000,0.00,15.1322,25.1322,61.9,64816.10,30.02
49,2026-02-23T03:05:01.120686+00:00,btc-updown-5m-1771815600,"Bitcoin Up or Down - February 22, 10:00PM-10:05PM ET",64783.56,64902.72,119.16,UP,BUY_UP,UP,0.5500,5.00,True,4.0909,81.82,19.2231,29.2231,63.6,64797.46,13.90
50,2026-02-23T03:15:01.130624+00:00,btc-updown-5m-1771816200,"Bitcoin Up or Down - February 22, 10:10PM-10:15PM ET",64973.43,64930.53,-42.90,DOWN,SKIP_EXPENSIVE,,0.7000,0.00,False,0.0000,0.00,19.2231,29.2231,63.6,64921.26,-52.17
51,2026-02-23T03:25:01.123800+00:00,btc-updown-5m-1771816800,"Bitcoin Up or Down - February 22, 10:20PM-10:25PM ET",64791.01,64764.96,-26.05,DOWN,BUY_DOWN,DOWN,0.5100,5.00,True,4.8039,96.08,24.0270,34.0270,65.2,64780.94,-10.07
52,2026-02-23T03:35:01.123092+00:00,btc-updown-5m-1771817400,"Bitcoin Up or Down - February 22, 10:30PM-10:35PM ET",64769.26,64780.91,11.65,UP,SKIP_EXPENSIVE,,0.7000,0.00,False,0.0000,0.00,24.0270,34.0270,65.2,64798.71,29.45
53,2026-02-23T03:45:01.119609+00:00,btc-updown-5m-1771818000,"Bitcoin Up or Down - February 22, 10:40PM-10:45PM ET",64903.27,65016.75,113.48,UP,BUY_UP,UP,0.6000,5.00,True,3.3333,66.67,27.3603,37.3603,66.7,64916.15,12.88
54,2026-02-23T03:55:01.139647+00:00,btc-updown-5m-1771818600,"Bitcoin Up or Down - February 22, 10:50PM-10:55PM ET",64929.99,64976.99,47.00,UP,BUY_UP,UP,0.5000,5.00,True,5.0000,100.00,32.3603,42.3603,68.0,64931.49,1.50
55,2026-02-23T04:05:01.122423+00:00,btc-updown-5m-1771819200,"Bitcoin Up or Down - February 22, 11:00PM-11:05PM ET",64934.17,64918.76,-15.41,DOWN,SKIP_EXPENSIVE,,0.6300,0.00,False,0.0000,0.00,32.3603,42.3603,68.0,64954.49,20.32
56,2026-02-23T04:15:01.133462+00:00,btc-updown-5m-1771819800,"Bitcoin Up or Down - February 22, 11:10PM-11:15PM ET",64945.74,65023.03,77.29,UP,BUY_DOWN,DOWN,0.5500,5.00,False,-5.0000,-100.00,27.3603,37.3603,65.4,64937.29,-8.45
57,2026-02-23T04:25:01.138560+00:00,btc-updown-5m-1771820400,"Bitcoin Up or Down - February 22, 11:20PM-11:25PM ET",64944.21,64800.01,-144.20,DOWN,SKIP_EXPENSIVE,,0.7100,0.00,False,0.0000,0.00,27.3603,37.3603,65.4,64912.21,-32.00
58,2026-02-23T04:35:01.121615+00:00,btc-updown-5m-1771821000,"Bitcoin Up or Down - February 22, 11:30PM-11:35PM ET",64778.13,64769.57,-8.56,DOWN,SKIP_EXPENSIVE,,0.6700,0.00,False,0.0000,0.00,27.3603,37.3603,65.4,64794.15,16.02
59,2026-02-23T04:45:01.126666+00:00,btc-updown-5m-1771821600,"Bitcoin Up or Down - February 22, 11:40PM-11:45PM ET",64688.41,64728.72,40.31,UP,SKIP_EXPENSIVE,,0.6400,0.00,False,0.0000,0.00,27.3603,37.3603,65.4,64712.01,23.60
60,2026-02-23T04:55:01.122516+00:00,btc-updown-5m-1771822200,"Bitcoin Up or Down - February 22, 11:50PM-11:55PM ET",64710.01,64811.76,101.75,UP,SKIP_EXPENSIVE,,0.6200,0.00,False,0.0000,0.00,27.3603,37.3603,65.4,64720.42,10.41
61,2026-02-23T05:05:01.127653+00:00,btc-updown-5m-1771822800,"Bitcoin Up or Down - February 23, 12:00AM-12:05AM ET",64808.31,64868.71,60.40,UP,BUY_DOWN,DOWN,0.5000,5.00,False,-5.0000,-100.00,22.3603,32.3603,63.0,64806.78,-1.53
62,2026-02-23T05:15:01.135918+00:00,btc-updown-5m-1771823400,"Bitcoin Up or Down - February 23, 12:10AM-12:15AM ET",64968.33,65096.27,127.94,UP,SKIP_EXPENSIVE,,0.6300,0.00,False,0.0000,0.00,22.3603,32.3603,63.0,64989.58,21.25
63,2026-02-23T05:25:01.132101+00:00,btc-updown-5m-1771824000,"Bitcoin Up or Down - February 23, 12:20AM-12:25AM ET",65123.88,65046.67,-77.21,DOWN,BUY_DOWN,DOWN,0.6000,5.00,True,3.3333,66.67,25.6937,35.6937,64.3,65095.77,-28.11
64,2026-02-23T05:35:01.126038+00:00,btc-updown-5m-1771824600,"Bitcoin Up or Down - February 23, 12:30AM-12:35AM ET",65044.73,65104.28,59.55,UP,SKIP_EXPENSIVE,,0.6900,0.00,False,0.0000,0.00,25.6937,35.6937,64.3,65075.73,31.00
65,2026-02-23T05:45:01.127386+00:00,btc-updown-5m-1771825200,"Bitcoin Up or Down - February 23, 12:40AM-12:45AM ET",65046.01,65024.69,-21.32,DOWN,BUY_DOWN,DOWN,0.5300,5.00,True,4.4340,88.68,30.1276,40.1276,65.5,65031.41,-14.60
66,2026-02-23T05:55:01.136198+00:00,btc-updown-5m-1771825800,"Bitcoin Up or Down - February 23, 12:50AM-12:55AM ET",65003.89,65013.01,9.12,UP,BUY_DOWN,DOWN,0.5300,5.00,False,-5.0000,-100.00,25.1276,35.1276,63.3,64997.49,-6.40
67,2026-02-23T06:05:01.128923+00:00,btc-updown-5m-1771826400,"Bitcoin Up or Down - February 23, 1:00AM-1:05AM ET",65070.91,65129.68,58.77,UP,BUY_DOWN,DOWN,0.5400,5.00,False,-5.0000,-100.00,20.1276,30.1276,61.3,65064.01,-6.90
68,2026-02-23T06:15:01.135494+00:00,btc-updown-5m-1771827000,"Bitcoin Up or Down - February 23, 1:10AM-1:15AM ET",65198.72,65350.01,151.29,UP,BUY_DOWN,DOWN,0.5800,5.00,False,-5.0000,-100.00,15.1276,25.1276,59.4,65186.02,-12.70
69,2026-02-23T06:25:01.137106+00:00,btc-updown-5m-1771827600,"Bitcoin Up or Down - February 23, 1:20AM-1:25AM ET",65318.18,65379.52,61.34,UP,SKIP_COOLDOWN,,0.0000,0.00,False,0.0000,0.00,15.1276,25.1276,59.4,65355.74,37.56
70,2026-02-23T06:35:01.123598+00:00,btc-updown-5m-1771828200,"Bitcoin Up or Down - February 23, 1:30AM-1:35AM ET",65310.01,65410.58,100.57,UP,SKIP_COOLDOWN,,0.0000,0.00,False,0.0000,0.00,15.1276,25.1276,59.4,65310.29,0.28
71,2026-02-23T06:45:01.122299+00:00,btc-updown-5m-1771828800,"Bitcoin Up or Down - February 23, 1:40AM-1:45AM ET",65622.76,65533.41,-89.35,DOWN,SKIP_COOLDOWN,,0.0000,0.00,False,0.0000,0.00,15.1276,25.1276,59.4,65621.37,-1.39
72,2026-02-23T06:55:01.119672+00:00,btc-updown-5m-1771829400,"Bitcoin Up or Down - February 23, 1:50AM-1:55AM ET",65665.63,65792.49,126.86,UP,SKIP_EXPENSIVE,,0.7700,0.00,False,0.0000,0.00,15.1276,25.1276,59.4,65724.89,59.26
