candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
131,2026-02-20T03:15:00.921984+00:00,btc-updown-5m-1771557000,"Bitcoin Up or Down - February 19, 10:10PM-10:15PM ET",03:10:00 UTC,03:15:00 UTC,67285.09,67280.39,-4.70,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
132,2026-02-20T03:25:00.946598+00:00,btc-updown-5m-1771557600,"Bitcoin Up or Down - February 19, 10:20PM-10:25PM ET",03:20:00 UTC,03:25:00 UTC,67269.28,67384.14,114.86,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
133,2026-02-20T03:35:00.903057+00:00,btc-updown-5m-1771558200,"Bitcoin Up or Down - February 19, 10:30PM-10:35PM ET",03:30:00 UTC,03:35:00 UTC,67414.25,67401.72,-12.53,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
134,2026-02-20T03:45:00.932171+00:00,btc-updown-5m-1771558800,"Bitcoin Up or Down - February 19, 10:40PM-10:45PM ET",03:40:00 UTC,03:45:00 UTC,67476.79,67324.97,-151.82,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
135,2026-02-20T03:55:00.900996+00:00,btc-updown-5m-1771559400,"Bitcoin Up or Down - February 19, 10:50PM-10:55PM ET",03:50:00 UTC,03:55:00 UTC,67317.13,67375.98,58.85,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
136,2026-02-20T04:05:00.857739+00:00,btc-updown-5m-1771560000,"Bitcoin Up or Down - February 19, 11:00PM-11:05PM ET",04:00:00 UTC,04:05:00 UTC,67369.00,67319.10,-49.90,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
137,2026-02-20T04:15:00.798291+00:00,btc-updown-5m-1771560600,"Bitcoin Up or Down - February 19, 11:10PM-11:15PM ET",04:10:00 UTC,04:15:00 UTC,67316.40,67328.12,11.72,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
138,2026-02-20T04:25:00.747132+00:00,btc-updown-5m-1771561200,"Bitcoin Up or Down - February 19, 11:20PM-11:25PM ET",04:20:00 UTC,04:25:00 UTC,67173.27,67218.57,45.30,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
139,2026-02-20T04:35:00.751438+00:00,btc-updown-5m-1771561800,"Bitcoin Up or Down - February 19, 11:30PM-11:35PM ET",04:30:00 UTC,04:35:00 UTC,67220.31,67278.42,58.11,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
140,2026-02-20T04:45:00.696032+00:00,btc-updown-5m-1771562400,"Bitcoin Up or Down - February 19, 11:40PM-11:45PM ET",04:40:00 UTC,04:45:00 UTC,67299.41,67287.19,-12.22,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
141,2026-02-20T04:55:00.605865+00:00,btc-updown-5m-1771563000,"Bitcoin Up or Down - February 19, 11:50PM-11:55PM ET",04:50:00 UTC,04:55:00 UTC,67275.69,67258.96,-16.73,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
142,2026-02-20T05:05:00.563895+00:00,btc-updown-5m-1771563600,"Bitcoin Up or Down - February 20, 12:00AM-12:05AM ET",05:00:00 UTC,05:05:00 UTC,67264.83,67275.32,10.49,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
143,2026-02-20T05:15:00.484059+00:00,btc-updown-5m-1771564200,"Bitcoin Up or Down - February 20, 12:10AM-12:15AM ET",05:10:00 UTC,05:15:00 UTC,67230.90,67257.55,26.65,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
144,2026-02-20T05:25:00.470782+00:00,btc-updown-5m-1771564800,"Bitcoin Up or Down - February 20, 12:20AM-12:25AM ET",05:20:00 UTC,05:25:00 UTC,67249.14,67348.26,99.12,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
145,2026-02-20T05:35:00.399831+00:00,btc-updown-5m-1771565400,"Bitcoin Up or Down - February 20, 12:30AM-12:35AM ET",05:30:00 UTC,05:35:00 UTC,67407.34,67897.98,490.64,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
146,2026-02-20T05:45:00.385524+00:00,btc-updown-5m-1771566000,"Bitcoin Up or Down - February 20, 12:40AM-12:45AM ET",05:40:00 UTC,05:45:00 UTC,67856.90,67910.17,53.27,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
147,2026-02-20T05:55:00.390217+00:00,btc-updown-5m-1771566600,"Bitcoin Up or Down - February 20, 12:50AM-12:55AM ET",05:50:00 UTC,05:55:00 UTC,67981.40,67829.80,-151.60,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
148,2026-02-20T06:05:00.319731+00:00,btc-updown-5m-1771567200,"Bitcoin Up or Down - February 20, 1:00AM-1:05AM ET",06:00:00 UTC,06:05:00 UTC,67799.99,67767.17,-32.82,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
149,2026-02-20T06:15:00.266654+00:00,btc-updown-5m-1771567800,"Bitcoin Up or Down - February 20, 1:10AM-1:15AM ET",06:10:00 UTC,06:15:00 UTC,67845.79,67857.31,11.52,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
150,2026-02-20T06:25:00.275758+00:00,btc-updown-5m-1771568400,"Bitcoin Up or Down - February 20, 1:20AM-1:25AM ET",06:20:00 UTC,06:25:00 UTC,67873.37,67708.69,-164.68,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
151,2026-02-20T06:35:00.228836+00:00,btc-updown-5m-1771569000,"Bitcoin Up or Down - February 20, 1:30AM-1:35AM ET",06:30:00 UTC,06:35:00 UTC,67721.03,67832.71,111.68,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
152,2026-02-20T06:45:00.176849+00:00,btc-updown-5m-1771569600,"Bitcoin Up or Down - February 20, 1:40AM-1:45AM ET",06:40:00 UTC,06:45:00 UTC,67815.16,67753.28,-61.88,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
153,2026-02-20T06:55:00.161869+00:00,btc-updown-5m-1771570200,"Bitcoin Up or Down - February 20, 1:50AM-1:55AM ET",06:50:00 UTC,06:55:00 UTC,67834.25,67887.04,52.79,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
154,2026-02-20T07:05:00.048529+00:00,btc-updown-5m-1771570800,"Bitcoin Up or Down - February 20, 2:00AM-2:05AM ET",07:00:00 UTC,07:05:00 UTC,67847.47,67830.18,-17.29,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
155,2026-02-20T07:15:00.929831+00:00,btc-updown-5m-1771571400,"Bitcoin Up or Down - February 20, 2:10AM-2:15AM ET",07:10:00 UTC,07:15:00 UTC,67810.46,67822.50,12.04,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
156,2026-02-20T07:25:00.876629+00:00,btc-updown-5m-1771572000,"Bitcoin Up or Down - February 20, 2:20AM-2:25AM ET",07:20:00 UTC,07:25:00 UTC,67850.75,67959.98,109.23,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
157,2026-02-20T07:35:00.730884+00:00,btc-updown-5m-1771572600,"Bitcoin Up or Down - February 20, 2:30AM-2:35AM ET",07:30:00 UTC,07:35:00 UTC,67948.07,67931.34,-16.73,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
158,2026-02-20T07:45:00.594536+00:00,btc-updown-5m-1771573200,"Bitcoin Up or Down - February 20, 2:40AM-2:45AM ET",07:40:00 UTC,07:45:00 UTC,67912.61,67884.55,-28.06,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
