candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
24,2026-02-20T22:40:00.009892+00:00,btc-updown-5m-1771626900,"Bitcoin Up or Down - February 20, 5:35PM-5:40PM ET",22:35:00 UTC,22:40:00 UTC,67979.67,68017.19,37.52,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
25,2026-02-20T22:50:00.003964+00:00,btc-updown-5m-1771627500,"Bitcoin Up or Down - February 20, 5:45PM-5:50PM ET",22:45:00 UTC,22:50:00 UTC,67963.75,68013.40,49.65,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
26,2026-02-20T23:00:00.020127+00:00,btc-updown-5m-1771628100,"Bitcoin Up or Down - February 20, 5:55PM-6:00PM ET",22:55:00 UTC,23:00:00 UTC,68049.96,68078.13,28.17,UP,BUY_UP,UP,0.9500,3.00,True,0.1579,5.26,1.0287,11.0287,100.0
27,2026-02-20T23:10:00.019758+00:00,btc-updown-5m-1771628700,"Bitcoin Up or Down - February 20, 6:05PM-6:10PM ET",23:05:00 UTC,23:10:00 UTC,68116.50,68072.30,-44.20,DOWN,BUY_DOWN,DOWN,0.9700,3.00,True,0.0928,3.09,1.1215,11.1215,100.0
28,2026-02-20T23:20:00.038937+00:00,btc-updown-5m-1771629300,"Bitcoin Up or Down - February 20, 6:15PM-6:20PM ET",23:15:00 UTC,23:20:00 UTC,68026.40,67990.50,-35.90,DOWN,SKIP_EXPENSIVE,,0.9800,0.00,False,0.0000,0.00,1.1215,11.1215,100.0
29,2026-02-20T23:30:00.028335+00:00,btc-updown-5m-1771629900,"Bitcoin Up or Down - February 20, 6:25PM-6:30PM ET",23:25:00 UTC,23:30:00 UTC,67975.19,67996.48,21.29,UP,SKIP_WIDE_SPREAD,,0.9000,0.00,False,0.0000,0.00,1.1215,11.1215,100.0
30,2026-02-20T23:40:00.040341+00:00,btc-updown-5m-1771630500,"Bitcoin Up or Down - February 20, 6:35PM-6:40PM ET",23:35:00 UTC,23:40:00 UTC,67975.49,67914.01,-61.48,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,1.1215,11.1215,100.0
31,2026-02-20T23:50:00.014095+00:00,btc-updown-5m-1771631100,"Bitcoin Up or Down - February 20, 6:45PM-6:50PM ET",23:45:00 UTC,23:50:00 UTC,67975.91,67962.67,-13.24,DOWN,BUY_UP,UP,0.3700,5.00,False,-5.0000,-100.00,-3.8785,6.1215,80.0
32,2026-02-21T00:00:00.012470+00:00,btc-updown-5m-1771631700,"Bitcoin Up or Down - February 20, 6:55PM-7:00PM ET",23:55:00 UTC,00:00:00 UTC,68017.12,68020.01,2.89,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.8785,6.1215,80.0
33,2026-02-21T00:10:00.034661+00:00,btc-updown-5m-1771632300,"Bitcoin Up or Down - February 20, 7:05PM-7:10PM ET",00:05:00 UTC,00:10:00 UTC,68005.72,67976.86,-28.86,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.8785,6.1215,80.0
34,2026-02-21T00:20:00.037481+00:00,btc-updown-5m-1771632900,"Bitcoin Up or Down - February 20, 7:15PM-7:20PM ET",00:15:00 UTC,00:20:00 UTC,68017.35,67951.25,-66.10,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.8785,6.1215,80.0
35,2026-02-21T00:30:00.001840+00:00,btc-updown-5m-1771633500,"Bitcoin Up or Down - February 20, 7:25PM-7:30PM ET",00:25:00 UTC,00:30:00 UTC,67964.31,67927.99,-36.32,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.8785,6.1215,80.0
36,2026-02-21T00:40:00.008539+00:00,btc-updown-5m-1771634100,"Bitcoin Up or Down - February 20, 7:35PM-7:40PM ET",00:35:00 UTC,00:40:00 UTC,67897.87,67910.40,12.53,UP,SKIP_EXPENSIVE,,0.9800,0.00,False,0.0000,0.00,-3.8785,6.1215,80.0
37,2026-02-21T00:50:00.013609+00:00,btc-updown-5m-1771634700,"Bitcoin Up or Down - February 20, 7:45PM-7:50PM ET",00:45:00 UTC,00:50:00 UTC,67840.68,67861.29,20.61,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,-3.8785,6.1215,80.0
38,2026-02-21T01:00:00.038467+00:00,btc-updown-5m-1771635300,"Bitcoin Up or Down - February 20, 7:55PM-8:00PM ET",00:55:00 UTC,01:00:00 UTC,67864.48,67841.00,-23.48,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,-3.8785,6.1215,80.0
